id,userid,score
189,22311A6712,0000
190,22311A6710,0000
191,22311A6709,0000
192,22311A6708,0000
193,22311A6707,0000
194,23315A6706,0000
195,22311A6706,0000
196,23315A6705,0000
197,22311A6705,0000
198,23315A6704,0000
199,22311A6704,0000
200,23315A6703,0000
201,22311A6703,0000
202,22311A6702,0000
203,23315A6701,0000
204,22311A6701,0000
205,22311A66D3,0000
206,22311A66C6,0000
207,22311A66C5,0000
208,22311A66C2,0000
209,22311A66C1,0000
210,22311A66B9,0000
211,22P71A66B7,0000
212,22311A66B7,0000
213,22311A66B6,0000
214,22311A66B5,0000
215,22311A66B4,0000
216,22311A66B3,0000
217,22311A66A9,0000
218,22311A66A8,0000
219,22311A66A5,0000
220,22311A66A4,0000
221,22311A66A3,0000
222,22311A66A2,0000
223,22311A66A0,0000
224,22311A6699,0000
225,22311A6698,0000
226,22311A6697,0000
227,22311A6696,0000
228,22311A6695,0000
229,22311A6694,0000
230,22311A6693,0000
231,22311A6692,0000
232,22311A6691,0000
233,22311A6690,0000
234,22311A6689,0000
235,22311A6688,0000
236,22311A6687,0000
237,22311A6686,0000
238,22311A6685,0000
239,22311A6683,0000
240,22311A6682,0000
241,22311A6681,0000
242,22311A6680,0000
243,22311A6679,0000
244,22311A6677,0000
245,22311A6676,0000
246,22311A6675,0000
247,22311A6673,0000
248,22311A6672,0000
249,22311A6671,0000
250,22311A6669,0000
251,22311A6667,0000
252,22311A6665,0000
253,22311A6664,0000
254,22311A6663,0000
255,22311A6662,0000
256,22311A6661,0000
257,22311A6660,0000
258,22311A6659,0000
259,22311A6658,0000
260,22311A6657,0000
261,22311A6656,0000
262,22311A6655,0000
263,22861A6654,0000
264,22311A6654,0000
265,22861A6651,0000
266,22311A6651,0000
267,22311A6650,0000
268,22311A6649,0000
269,22311A6647,0000
270,22311A6644,0000
271,22311A6640,0000
272,22311A6638,0000
273,22311A6637,0000
274,22311A6636,0000
275,22311A6634,0000
276,22311A6633,0000
277,22311A6632,0000
278,22311A6631,0000
